Gene_ID Gene_name numAparitions
377 ecm38Δ 22
378 ssp2Δ 41
379 stt4-4 95
380 sfk1Δ 2
381 cnb1Δ 20
382 sso2Δ 15
383 pho80Δ 47
384 ost3Δ 154
385 kap95-E126K 134
386 rps6bΔ 22
387 thp2Δ 89
388 bre1Δ 43
389 sup35-td 52
390 ubp3Δ 53
391 puf4Δ 9
392 rps21bΔ 30
393 rpa34Δ 29
394 pom152Δ 35
395 leo1Δ 18
396 arx1Δ 16
397 trm2Δ 7
398 ylr363w-aΔ 20
399 cst9Δ 83
400 rox1Δ 43
401 ydr391cΔ 7
402 slp1Δ 12
403 gab1-2 139
404 ypr109wΔ 36
405 sds3Δ 33
406 ess1-H164R 35
407 gaa1-ts 9
408 met22Δ 27
409 elc1Δ 20
410 rpl11bΔ 17
411 yml108wΔ 47
412 ero1-1 110
413 ssh1Δ 13
414 sac7Δ 41
415 mrl1Δ 48
416 mtc5Δ 38
417 mvp1Δ 71
418 arp9-1 70
419 chd1Δ 167
420 slx5Δ 58
421 num1Δ 40
422 arp1Δ 49
423 alt1Δ 36
424 sec12-1 44
425 cln1Δ 80
426 cln2Δ 94
427 cln3Δ 10
428 cyk3Δ 23
429 bem2Δ 34
430 act1-129 51
431 bub3Δ 51
432 def1Δ 32
433 rpl4aΔ 6
434 ubp8Δ 111
435 ctf8-9 38
436 fat1Δ 10
437 lcb1-5 78
438 sti1Δ 99
439 get3Δ 24
440 lcb3Δ 3
441 vps24Δ 51
442 caf40Δ 79
443 yor268cΔ 17
444 sur1Δ 50
445 dal82Δ 39
446 hht1Δ 5
447 hir2Δ 60
448 vam6Δ 32
449 dbf4-2 44
450 pob3-L78R 58
451 rtt10Δ 18
452 vnx1Δ 18
453 ppm2Δ 3
454 apm1Δ 32
455 mso1Δ 40
456 sec4-8 22
457 ypt1-3 24
458 vps51Δ 57
459 sec10-2 5
460 cdc2-7 34
461 smc5-6 43
462 wss1Δ 6
463 rad27Δ 25
464 cbc2Δ 37
465 msh2Δ 35
466 rnh1Δ 9
467 sgt1-3 47
468 ent4Δ 64
469 ufe1-1 53
470 clb4Δ 3
471 sky1Δ 13
472 rkm1Δ 3
473 ddc1Δ 53
474 ubc4Δ 17
475 rad59Δ 3
476 trm10Δ 4
477 hut1Δ 28
478 sey1Δ 35
479 sec23-1 40
480 dss4Δ 16
481 ies4Δ 76
482 isr1Δ 33
483 rim20Δ 124
484 tfb1-6 47
485 rpn12-1 34
486 iki3Δ 24
487 vps5Δ 29
488 ala1-1 42
489 hap3Δ 13
490 yjl147cΔ 30
491 tir4Δ 10
492 sec16-2 64
493 sec72Δ 56
494 ccz1Δ 28
495 cdc60-ts 159
496 gph1Δ 34
497 RPN6-PH 41
498 gcn20Δ 6
499 gcn1Δ 7
500 YJR141W-PH 44
501 los1Δ 9
502 sis2Δ 14
503 psp2Δ 21
504 dfr1-td 26
505 lpp1Δ 15
506 cem1Δ 64
507 smi1Δ 29
508 rad52Δ 27
509 dcc1Δ 35
510 oca4Δ 53
511 oca6Δ 37
512 mcm21Δ 24
513 yor1Δ 11
